Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Jul-24,APT51453,51453,"ChargePlace Scotland, Hillcrest Homes",Dundee City,DD1 2AE,ChargePlace Scotland,103,2477.17,0,99.90%,Public
Jul-24,APT51454,51454,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 2AE,ChargePlace Scotland,14,321.41,1,100.00%,Public
Jul-24,51456,51456,"Arisaig Community Trust, ChargePlace Scotland",Highland,PH39 4NU,ChargePlace Scotland,32,320.01,1,100.00%,Public
Jul-24,51457,51457,"Angus Council, ChargePlace Scotland",Angus,DD8 1AX,ChargePlace Scotland,7,28.83,0,99.30%,Public
Jul-24,APT51459,51459,"Beam Suntory, ChargePlace Scotland",West Dunbartonshire,G81 4SJ,ChargePlace Scotland,19,472.35,1,99.20%,Public
Jul-24,APT51460,51460,"Beam Suntory, ChargePlace Scotland",West Dunbartonshire,G81 4SJ,ChargePlace Scotland,8,77.42,0,100.00%,Public
Jul-24,51467,51467,"ChargePlace Scotland, Ayrshire Roads Alliance",South Ayrshire,KA8 0BJ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51469,51469,"Angus Council, ChargePlace Scotland",Angus,DD7 7JB,ChargePlace Scotland,18,91.97,0,100.00%,Public
Jul-24,11981,51488,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 3ND,ChargePlace Scotland,35,348.61,0,77.00%,Public
Jul-24,EFA51492,51492,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8LF,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,EFA51493,51493,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8LF,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51495,51495,"ChargePlace Scotland, Scottish Borders Council",Scottish Borders,TD9 8AG,ChargePlace Scotland,85,1549,0,97.60%,Public
Jul-24,51497,51497,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,G65 9HT,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51499,51499,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG9 7RX,ChargePlace Scotland,32,690.75,2,91.00%,Public
Jul-24,51500,51500,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8RS,ChargePlace Scotland,153,2562.35,1,93.70%,Public
Jul-24,51501,51501,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 7DN,ChargePlace Scotland,122,2539.59,2,98.70%,Public
Jul-24,T53-IT1-0417-013,51502,"ChargePlace Scotland, Midlothian Council",Midlothian,EH22 1FF,ChargePlace Scotland,111,2188.91,1,100.00%,Public
Jul-24,51503,51503,"ChargePlace Scotland, West Dunbartonshire Council",West Dunbartonshire,G83 8HS,ChargePlace Scotland,40,275.54,2,79.80%,Public
Jul-24,51505,51505,"ChargePlace Scotland, University of Dundee",Dundee City,DD1 4HN,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51506,51506,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,ChargePlace Scotland,17,355.92,2,73.60%,Public
Jul-24,51508,51508,"ChargePlace Scotland, Scottish Borders Council",Scottish Borders,TD8 6AJ,ChargePlace Scotland,169,3372.45,2,92.70%,Public
Jul-24,51510,51510,"ChargePlace Scotland, Argyll & Bute Council",Argyll and Bute,PA34 5DD,ChargePlace Scotland,142,3538.27,10,99.90%,Public
Jul-24,51511,51511,"ChargePlace Scotland, Argyll & Bute Council",Argyll and Bute,PA64 6WZ,ChargePlace Scotland,77,1826.24,10,99.90%,Public
Jul-24,CMU1531,51512,"ChargePlace Scotland, North Lanarkshire Council, BP - ChargePlace Scotland",North Lanarkshire,ML1 5SY,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51513,51513,"ChargePlace Scotland, NHS Grampian",Aberdeenshire,AB42 2XB,ChargePlace Scotland,88,2021.97,1,100.00%,Public
Jul-24,51514,51514,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH11 4HD,ChargePlace Scotland,120,1679.74,2,95.90%,Public
Jul-24,51515,51515,"ChargePlace Scotland, East Lothian Council",East Lothian,EH32 0BQ,ChargePlace Scotland,84,1754.22,2,90.20%,Public
Jul-24,51516,51516,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,KY13 8FH,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51521,51521,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV1 1JJ,ChargePlace Scotland,35,522.27,1,79.50%,Public
Jul-24,t53_hu1_1117_010,51524,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB23 8GX,ChargePlace Scotland,120,2469.13,7,100.00%,Public
Jul-24,T53-HU1-0817-010,51525,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB15 8PS,ChargePlace Scotland,208,4823.22,0,100.00%,Public
Jul-24,51526,51526,"Caledonian Maritime Assets Ltd, ChargePlace Scotland",North Ayrshire,KA27 8AY,ChargePlace Scotland,209,4354.33,10,96.60%,Public
Jul-24,51528,51528,"ChargePlace Scotland, Scrabster Harbour Trust",Highland,KW14 8NN,ChargePlace Scotland,40,1033.02,2,93.90%,Public
Jul-24,51529,51529,"ChargePlace Scotland, Pentland Ferries",Highland,KW1 4YB,ChargePlace Scotland,17,313.94,0,83.80%,Public
Jul-24,51530,51530,"Angus Council, ChargePlace Scotland",Angus,DD7 6AG,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51533,51533,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,G74 5LB,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51534,51534,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG10 9ER,ChargePlace Scotland,138,2714.44,3,97.10%,Public
Jul-24,51535,51535,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA7 1UT,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51536,51536,"ChargePlace Scotland, Kyle of Sutherland Development Trust",Highland,IV24 3AL,ChargePlace Scotland,36,759.65,2,94.80%,Public
Jul-24,51538,51538,"Argyll & Bute Council, ChargePlace Scotland",Argyll and Bute,G84 8SQ,ChargePlace Scotland,222,5835.99,2,91.30%,Public
Jul-24,51539,51539,"ChargePlace Scotland, Kyle of Sutherland Development Trust",Highland,IV27 4EE,ChargePlace Scotland,29,95.57,0,98.70%,Public
Jul-24,APT51540,51540,"ChargePlace Scotland, ANADNA PROPERTIES LTD",North Lanarkshire,ML1 4WQ,ChargePlace Scotland,0,0,1,93.60%,Public
Jul-24,APT51541,51541,"ChargePlace Scotland, ANADNA PROPERTIES LTD",North Lanarkshire,ML1 4WQ,ChargePlace Scotland,45,860.1,0,95.70%,Public
Jul-24,51542,51542,"Angus Council, ChargePlace Scotland",Angus,DD10 8JN,ChargePlace Scotland,67,1499.14,1,97.40%,Public
Jul-24,51543,51543,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB21 0BZ,ChargePlace Scotland,138,2670.35,0,98.20%,Public
Jul-24,APT51544,51544,"ChargePlace Scotland, evpoint Services Ltd",Dundee City,DD4 9BS,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51546,51546,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV49 9AB,ChargePlace Scotland,150,2786.57,19,100.00%,Public
Jul-24,APT51547,51547,"ChargePlace Scotland, Dundee City Council",Dundee City,DD2 3BH,ChargePlace Scotland,255,5536.2,1,90.50%,Public
Jul-24,51548,51548,"ChargePlace Scotland, Dundee City Council",Dundee City,DD2 3BH,ChargePlace Scotland,197,2392.03,1,88.00%,Public
Jul-24,APT51549,51549,"ChargePlace Scotland, Dundee City Council",Dundee City,DD2 3BH,ChargePlace Scotland,257,2795.27,1,95.30%,Public
Jul-24,51550,51550,"ChargePlace Scotland, Dundee City Council",Dundee City,DD2 3BH,ChargePlace Scotland,88,1583.43,0,94.40%,Public
Jul-24,51551,51551,"Angus Council, ChargePlace Scotland",Angus,DD11 1HG,ChargePlace Scotland,156,3295.01,1,100.00%,Public
Jul-24,APT51552,51552,"ChargePlace Scotland, Drumbrae Leisure Centre, Edinburgh Leisure",City of Edinburgh,EH4 7SF,ChargePlace Scotland,191,4464.12,5,97.90%,Public
Jul-24,51553,51553,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB41 8QR,ChargePlace Scotland,66,1076.17,1,100.00%,Public
Jul-24,51554,51554,"ChargePlace Scotland, The Park Hotel Ayrshire Ltd",East Ayrshire,KA1 1UR,ChargePlace Scotland,92,1207.11,1,97.80%,Public
Jul-24,APT51555,51555,"ChargePlace Scotland, Mid Argyll Community Enterprises Ltd",Argyll and Bute,PA31 8NG,ChargePlace Scotland,0,0,1,100.00%,Public
Jul-24,51557,51557,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG4 6BP,ChargePlace Scotland,86,2453.32,0,96.80%,Public
