Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Apr-24,60529,60529,"ChargePlace Scotland, Stirling Council",Stirling,FK8 3BW,ChargePlace Scotland,12,356.6,0,100.00%,Public
Apr-24,60530,60530,"ChargePlace Scotland, Stirling Council",Stirling,FK8 3BW,ChargePlace Scotland,7,111.45,0,100.00%,Public
Apr-24,60531,60531,"ChargePlace Scotland, Stirling Council",Stirling,FK8  2QL,ChargePlace Scotland,17,225.28,0,100.00%,Public
Apr-24,60532,60532,"ChargePlace Scotland, Stirling Council",Stirling,FK8 2QL,ChargePlace Scotland,1,10.91,1,100.00%,Public
Apr-24,60533,60533,"ChargePlace Scotland, Stirling Council",Stirling,FK8 2QL,ChargePlace Scotland,3,0,0,100.00%,Public
Apr-24,60534,60534,"ChargePlace Scotland, Stirling Council",Stirling,FK8 2QL,ChargePlace Scotland,4,9.7,0,82.80%,Public
Apr-24,60535,60535,"ChargePlace Scotland, Stirling Council",Stirling,FK8 2QL,ChargePlace Scotland,11,144.45,0,100.00%,Public
Apr-24,60538,60538,"ChargePlace Scotland, Stirling Council",Stirling,FK8 2QL,ChargePlace Scotland,12,141.4,0,83.40%,Public
Apr-24,60539,60539,"ChargePlace Scotland, Diageo Scotland Ltd",Highland,KW9 6LR,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60540,60540,"ChargePlace Scotland, Diageo Scotland Ltd",Highland,KW9 6LR,ChargePlace Scotland,6,127.81,0,100.00%,Public
Apr-24,60556,60556,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,9,125.91,0,99.60%,Public
Apr-24,60557,60557,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60558,60558,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,4,57.22,0,100.00%,Public
Apr-24,60559,60559,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60560,60560,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,13,0.03,0,100.00%,Public
Apr-24,60561,60561,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60562,60562,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60563,60563,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 1JF,ChargePlace Scotland,3,36.27,0,100.00%,Public
