Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of tickets,Uptime
Nov-22,12945,61078,"ChargePlace Scotland, Scottish Borders, BP - ChargePlace Scotland",Scottish Borders,TD5 7AH,Any,ChargePlace Scotland,118,1227.43,3,100.00%
Nov-22,12946,61424,"ChargePlace Scotland, Scottish Borders, Scottish Borders AC Tariff, BP - ChargePlace Scotland",Scottish Borders,TD1 1BT,Any,ChargePlace Scotland,55,704.56,0,100.00%
Nov-22,13218,53294,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,1,1.17,0,100.00%
Nov-22,13219,53290,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,41,998.83,0,100.00%
Nov-22,13220,53289,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,30,845.07,0,100.00%
Nov-22,13221,53283,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,27,727.89,0,100.00%
Nov-22,13222,53285,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,27,460.49,0,100.00%
Nov-22,13223,53286,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,41,1002.77,0,100.00%
Nov-22,13224,53284,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,36,722.07,0,100.00%
Nov-22,13225,53288,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,29,475.34,0,100.00%
Nov-22,13226,53292,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,38,647.31,0,100.00%
Nov-22,13227,53291,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,40,1222.73,0,100.00%
Nov-22,13228,53293,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,11,111.94,0,100.00%
Nov-22,13229,53287,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Aberdeenshire,AB51 0YP,Any,ChargePlace Scotland,49,645.67,0,100.00%
Nov-22,13270,52780,"ChargePlace Scotland, Winter & Simpson 22KW Tariff, Winter & Simpsons, BP - ChargePlace Scotland",Dundee City,DD2 3QT,Any,ChargePlace Scotland,4,47.29,0,100.00%
Nov-22,13271,52782,"ChargePlace Scotland, Glenshellach House, Glenshellach House 22kW Tariff, BP - ChargePlace Scotland",Argyll and Bute,PA34 4HG,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13272,52783,"ChargePlace Scotland, Loch Melfort Hotel, Loch Melfort Hotel 22kW Tariff, BP - ChargePlace Scotland",Argyll and Bute,PA34 4XG,Any,ChargePlace Scotland,27,399.47,0,100.00%
Nov-22,13273,52779,"ChargePlace Scotland, Improvement Service, Improvement Service 22kW Tariff, BP - ChargePlace Scotland",West Lothian,EH54 6AX,Any,ChargePlace Scotland,46,787.79,0,100.00%
Nov-22,13283,52781,"ChargePlace Scotland, Kidz World Nursery Ltd, BP - ChargePlace Scotland",Clackmannanshire,FK10 1NU,Any,ChargePlace Scotland,19,311.66,0,100.00%
Nov-22,13304,53430,"Borders College, ChargePlace Scotland, BP - ChargePlace Scotland",Scottish Borders,TD9 0EH,Any,ChargePlace Scotland,102,1669.99,2,100.00%
Nov-22,13305,53429,"Borders College, ChargePlace Scotland, BP - ChargePlace Scotland",Scottish Borders,TD9 0EH,Any,ChargePlace Scotland,82,1105.42,0,100.00%
Nov-22,13312,53043,"ChargePlace Scotland, STEP, STEP, Stirling 7KW Tariff",Stirling,FK7 7RP,Any,ChargePlace Scotland,42,373.39,0,100.00%
Nov-22,13313,53044,"ChargePlace Scotland, STEP, STEP, Stirling 11KW Tariff, BP - ChargePlace Scotland",Stirling,FK7 7RP,Any,ChargePlace Scotland,32,361.13,0,100.00%
Nov-22,13320,52998,"Borgie Lodge Hotel, ChargePlace Scotland, BP - ChargePlace Scotland",Highland,KW14 7TH,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13321,52999,"Borgie Lodge Hotel, ChargePlace Scotland",Highland,KW14 7TH,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13327,53045,"ChargePlace Scotland, Glenshellach House, BP - ChargePlace Scotland",East Ayrshire,KA18 2LL,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,13329,53051,"Ben Cruachan Inn, Ben Cruachan Inn 22kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",Argyll and Bute,PA33 1AQ,Any,ChargePlace Scotland,6,103.31,0,100.00%
