Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets,Uptime
Feb-23,APT50955,50955,"Aberdeen Royal Infirmary, ChargePlace Scotland, NHS Grampian",Aberdeen City,AB25 2WA,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50956,50956,"Aberdeen City Council, Aberdeen City Council 22kW Tariff, ChargePlace Scotland",Aberdeen City,AB22 8ZP,Any,ChargePlace Scotland,46,896.29,1,100.00%
Feb-23,APT50957,50957,"Aberdeen City Council, Aberdeen City Council 22kW Tariff, ChargePlace Scotland",Aberdeen City,AB15 8BJ,Any,ChargePlace Scotland,67,996.07,0,100.00%
Feb-23,APT50959,50959,"Aberdeen City Council, Aberdeen City Council 7kW Tariff, ChargePlace Scotland",Aberdeen City,AB16 5UT,Any,ChargePlace Scotland,34,348.5,0,100.00%
Feb-23,APT50960,50960,"Aberdeen City Council, Aberdeen City Council 22kW Tariff, ChargePlace Scotland",Aberdeen City,AB16 5JT,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50961,50961,"Aberdeen City Council, Aberdeen City Council 22kW Tariff, ChargePlace Scotland",Aberdeen City,AB24 5TU,Any,ChargePlace Scotland,65,1551.59,0,100.00%
Feb-23,APT50962,50962,"Aberdeen City Council, Aberdeen City Council 22kW Tariff, ChargePlace Scotland",Aberdeen City,AB12 5NP,Any,ChargePlace Scotland,67,1690.43,2,100.00%
Feb-23,50963,50963,"Aberdeen City Council, Aberdeen City Council 22kW Tariff, ChargePlace Scotland",Aberdeen City,AB22 8HH,Any,ChargePlace Scotland,31,567.3,2,100.00%
Feb-23,APT50964,50964,Science and Advice for Scottish Agriculture,City of Edinburgh,EH12 9FJ,Any,ChargePlace Scotland,27,450.13,0,100.00%
Feb-23,EFA50972,50972,FES Support Services,Na h-Eileanan an Iar,HS1 2RB,Any,ChargePlace Scotland,0,0,1,100.00%
Feb-23,EFA50973,50973,"ChargePlace Scotland, The Aros 22KW Tariff, The Aros Experience",Highland,IV51 9EU,Any,ChargePlace Scotland,57,1070.72,8,100.00%
Feb-23,EFA50974,50974,"ChargePlace Scotland, Edinburgh Marriott Hotel",City of Edinburgh,EH12 8NF,Any,ChargePlace Scotland,91,1612.24,3,100.00%
Feb-23,EFA50975,50975,"ChargePlace Scotland, HW Energy",Highland,PH33 6SQ,Any,ChargePlace Scotland,24,186.63,0,100.00%
Feb-23,APT50982,50982,"ChargePlace Scotland, Stirling Council",Stirling,FK8 1QZ,Any,ChargePlace Scotland,50,801.68,0,100.00%
Feb-23,EFA50992,50992,Scottish Qualifications Authority,Midlothian,EH22 1FD,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50995,50995,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH15 2AD,Any,ChargePlace Scotland,94,1673.01,9,100.00%
Feb-23,1611513803-B94060094,50998,"ChargePlace Scotland, Fife College",Fife,KY8 1EA,Any,ChargePlace Scotland,197,3651.69,11,100.00%
Feb-23,3142,51001,"ChargePlace Scotland, Lynnfield Hotel, BP - ChargePlace Scotland",Orkney Islands,KW15 1SU,Any,ChargePlace Scotland,3,57.21,0,100.00%
Feb-23,51003,51003,"ChargePlace Scotland, Seamill Hydro Hotel",North Ayrshire,KA23 9ND,Any,ChargePlace Scotland,41,466.64,1,100.00%
Feb-23,51004,51004,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,G67 2XJ,Any,ChargePlace Scotland,16,446.93,0,100.00%
Feb-23,APT51009,51009,"ChargePlace Scotland, Integrated Environmental Solutions LTD",Glasgow City,G20 0SP,Any,ChargePlace Scotland,60,1395.26,0,100.00%
Feb-23,APT51010,51010,"ChargePlace Scotland, NHS Fife, NHS Fife 22KW Tariff",Fife,KY12 0SU,Any,ChargePlace Scotland,72,1043.16,2,100.00%
